; ISO 3166-2:AU
; Source: https://www.iso.org/obp/ui/#iso:code:3166:AU
; Extracted on: 20201128
; 
; Subdivision category	3166-2 code	Subdivision name	Language code	Romanization system	Parent subdivision
territory	AU-ACT	Australian Capital Territory	en
state	AU-NSW	New South Wales	en
territory	AU-NT	Northern Territory	en
state	AU-QLD	Queensland	en
state	AU-SA	South Australia	en
state	AU-TAS	Tasmania	en
state	AU-VIC	Victoria	en
state	AU-WA	Western Australia	en
